"DateTime";"Humedad Suelo %"
"2023-04-10 04:13:53";8
"2023-04-10 04:33:52";7,99
"2023-04-10 04:53:52";7,97
"2023-04-10 05:13:53";7,97
"2023-04-10 05:33:53";7,96
"2023-04-10 05:53:53";7,95
"2023-04-10 06:13:53";7,94
"2023-04-10 06:33:53";7,94
"2023-04-10 06:53:53";7,93
"2023-04-10 07:13:53";7,93
"2023-04-10 07:33:53";7,93
"2023-04-10 07:53:53";7,93
"2023-04-10 08:13:53";7,92
"2023-04-10 08:33:53";7,92
"2023-04-10 08:53:53";7,92
"2023-04-10 09:13:53";7,92
"2023-04-10 09:33:53";7,92
"2023-04-10 09:53:52";7,92
"2023-04-10 10:13:53";7,92
"2023-04-10 10:33:53";7,92
"2023-04-10 10:53:53";7,91
"2023-04-10 11:13:52";7,91
"2023-04-10 11:33:52";7,9
"2023-04-10 11:53:52";7,89
"2023-04-10 12:13:53";7,88
"2023-04-10 12:33:53";7,89
"2023-04-10 12:53:53";7,89
"2023-04-10 13:13:53";7,88
"2023-04-10 13:33:53";7,88
"2023-04-10 13:53:53";7,89
"2023-04-10 14:13:53";7,88
"2023-04-10 14:33:52";7,88
"2023-04-10 14:53:53";7,88
"2023-04-10 15:13:53";7,89
"2023-04-10 15:33:53";7,89
"2023-04-10 15:53:53";7,89
"2023-04-10 16:13:53";7,89
"2023-04-10 16:33:53";7,89
"2023-04-10 16:53:52";7,9
"2023-04-10 17:13:53";7,9
"2023-04-10 17:33:52";7,89
"2023-04-10 17:53:53";7,9
"2023-04-10 18:13:53";7,9
"2023-04-10 18:33:53";7,9
"2023-04-10 18:53:52";7,89
"2023-04-10 19:13:52";7,9
"2023-04-10 19:33:53";7,9
"2023-04-10 19:53:53";7,89
"2023-04-10 20:13:53";7,89
"2023-04-10 20:33:53";7,89
"2023-04-10 20:53:53";7,89
"2023-04-10 21:13:53";7,89
"2023-04-10 21:33:53";7,89
"2023-04-10 21:53:53";7,89
"2023-04-10 22:13:53";7,88
"2023-04-10 22:33:52";7,88
"2023-04-10 22:53:53";7,88
"2023-04-10 23:13:53";7,87
"2023-04-10 23:33:53";7,87
"2023-04-10 23:53:53";7,87
"2023-04-11 00:13:53";7,86
"2023-04-11 00:33:53";7,86
"2023-04-11 00:53:52";7,85
"2023-04-11 01:13:53";7,83
"2023-04-11 01:33:53";7,83
"2023-04-11 01:53:53";7,83
"2023-04-11 02:13:53";7,82
"2023-04-11 02:33:53";7,81
"2023-04-11 02:53:53";7,81
"2023-04-11 03:13:53";7,79
"2023-04-11 03:33:53";7,78
"2023-04-11 03:53:53";7,78
"2023-04-11 04:13:53";7,76
"2023-04-11 04:33:53";7,76
"2023-04-11 04:53:53";7,75
"2023-04-11 05:13:53";7,74
"2023-04-11 05:33:53";7,73
"2023-04-11 06:13:52";7,72
"2023-04-11 06:53:53";7,71
"2023-04-11 07:13:53";7,71
"2023-04-11 07:33:53";7,71
"2023-04-11 07:53:53";7,71
"2023-04-11 08:13:53";7,71
"2023-04-11 08:33:53";7,71
"2023-04-11 08:53:52";7,7
"2023-04-11 09:13:53";7,7
"2023-04-11 09:33:53";7,7
"2023-04-11 09:53:52";7,7
"2023-04-11 10:13:53";7,7
"2023-04-11 10:33:53";7,7
"2023-04-11 10:53:53";7,7
"2023-04-11 11:13:53";7,69
"2023-04-11 11:33:53";7,69
"2023-04-11 11:53:53";7,68
"2023-04-11 12:13:53";7,68
"2023-04-11 12:33:52";7,68
"2023-04-11 12:53:53";7,67
"2023-04-11 13:13:53";7,68
"2023-04-11 13:33:53";7,67
"2023-04-11 13:53:53";7,65
"2023-04-11 14:13:53";7,67
"2023-04-11 14:33:53";7,65
"2023-04-11 14:53:53";7,68
"2023-04-11 15:13:53";7,67
"2023-04-11 15:33:53";7,67
"2023-04-11 15:53:52";7,68
"2023-04-11 16:13:53";7,68
"2023-04-11 16:33:53";7,68
"2023-04-11 16:53:53";7,68
"2023-04-11 17:13:53";7,68
"2023-04-11 17:33:52";7,68
"2023-04-11 17:53:53";7,68
"2023-04-11 18:13:53";7,68
"2023-04-11 18:33:53";7,68
"2023-04-11 18:53:53";7,68
"2023-04-11 19:13:53";7,68
"2023-04-11 19:33:53";7,68
"2023-04-11 19:53:53";7,68
"2023-04-11 20:13:53";7,68
"2023-04-11 20:33:53";7,68
"2023-04-11 20:53:52";7,68
"2023-04-11 21:13:53";7,68
"2023-04-11 21:33:53";7,68
"2023-04-11 21:53:53";7,68
"2023-04-11 22:13:53";7,67
"2023-04-11 22:33:53";7,67
"2023-04-11 22:53:53";7,67
"2023-04-11 23:13:53";7,67
"2023-04-11 23:33:53";7,67
"2023-04-11 23:53:53";7,67
"2023-04-12 00:13:53";7,67
"2023-04-12 00:33:53";7,67
"2023-04-12 00:53:53";7,67
"2023-04-12 01:13:53";7,67
"2023-04-12 01:33:53";7,67
"2023-04-12 01:53:53";7,67
"2023-04-12 02:13:53";7,67
"2023-04-12 02:33:53";7,66
"2023-04-12 02:53:53";7,66
"2023-04-12 03:13:53";7,66
"2023-04-12 03:33:53";7,66
"2023-04-12 03:53:53";7,65
"2023-04-12 04:13:53";7,66
"2023-04-12 04:33:53";7,65
"2023-04-12 04:53:53";7,65
"2023-04-12 05:13:53";7,64
"2023-04-12 05:33:53";7,64
